Lote,longitude
56,22.9403
56,22.411
57,6.3528
58,19.1284
59,12.4707
60,61.2956
61,8.1985
62,9.7737
63,7.0411
64,8.8646
65,45.2082
66,10.723
67,9.7927
77,8.6176
78,12.5218
79,7.6895
80,22.9213
81,45.8496
82,10.498


