Localidad,Lote,Familia ,Genero,Latitud,Longitud,Altitud,Fecha,Municipio,UHM,Ejemplares
Rio Lenguezaque ,48,Gerridae,Eurygerris,"5°17'57"" N","73°42'35"" W",2593,16-1-2018,Lenguezaque,Glide,4
Rio Lenguezaque ,49,Gerridae,Limnogonus,"5°17'57"" N","73°42'35"" W",2593,16-1-2018,Lenguezaque,Glide,2
Rio Frio,50,Tipulidae,Tipula,"4°55'0"" N","74°2.9'0"" W",2595,12-03-2018,Cajica,Pool,4
Rio Frio,51,Hyalellidae,Hyalella,"4°55'0"" N","74°2.9'0"" W",2595,12-03-2018,Cajica,Pool,13
Rio Frio,52,Glossiphoniidae,Hellobdella,"4°55'0"" N","74°2.9'0"" W",2595,13-03-2018,Cajica,Pool,14
Rio Frio ,53,Ceratopogonidae,Alluaudomyia,"4°55'0"" N","74°2.9'0"" W",2595,13-03-2018,Cajica,Pool,35
Rio Frio,54,Leptoceridae,Triplectides,"4°55'0"" N","74°2.9'0"" W",2595,13-03-2018,Cajica,Riffle,7
Rio Frio,55,Planorbidae,Gyraulus,"4°55'0"" N","74°2.9'0"" W",2595,13-03-2018,Cajica,Pool,9
Rio Neusa ,56,Tipulidae,Tipula,"5°9'2.46"" N","73°58'57.2"" W",2990,6-4-2018,Cogua,Glide,6
Rio Neusa ,57,Elmidae,Disersus,"5°9'2.46"" N","73°58'57.2"" W",2990,6-4-2018,Cogua,Glide,2
Rio Neusa ,58,Helicopsychidae,Helicopsyche,"5°9'2.46"" N","73°58'57.2"" W",2990,6-4-2018,Cogua,Pool,8
Rio Neusa ,59,Hydrophilidae,Tropisternus,"5°6'5.83"" N","73°57'44.7"" W",2615,6-4-2018,Cogua,Riffle,2
Rio Neusa ,60,Tipulidae,Tipula,"5°6'5.83"" N","73°57'44.7"" W",2615,6-4-2018,Cogua,Riffle,24
Rio Neusa ,61,Simuliidae,Simulium,"5°6'5.83"" N","73°57'44.7"" W",2615,6-4-2018,Cogua,Riffle,67
Rio Guandoque - Neusa,62,Sphaeriidae,Spha_1,"5°9'38.1"" N","73°59'41.7"" W",3060,9-5-2018,Cogua,Riffle,21
Rio Guandoque - Neusa,63,Baetidae,Baetodes,"5°9'38.1"" N","73°59'41.7"" W",3060,9-5-2018,Cogua,Riffle,23
Rio Guandoque - Neusa,64,Hyalellidae,Hyalella,"5°9'38.1"" N","73°59'41.7"" W",3060,9-5-2018,Cogua,Riffle,3
Rio Neusa ,65,Glossiphoniidae,Gloss_1,"5°5'0.58"" N","73°56'4.84"" W",2595,10-5-2018,Cogua,Pool,3
Rio Neusa ,66,Gerridae,Eurygerris,"5°5'0.58"" N","73°56'4.84"" W",2595,10-5-2018,Cogua,Glide,1
Rio Neusa ,67,Chironomidae,Chiro_1,"5°5'0.58"" N","73°56'4.84"" W",2595,10-5-2018,Cogua,Glide,233
Rio Veraguas ,68,Dytiscidae,Thermonectus,"5°12'33.4"" N","74°11'33.5"" W",1570,12-6-2018,Pacho,Rapido,3
Rio Veraguas,69,Sphaeriidae,Spha_1,"5°12'33.4"" N","74°11'33.5"" W",1570,12-6-2018,Pacho,Pool,46
Rio Ubate,70,Leptoceridae,Atanatolica,"5°20'9"" N","73°47'44"" W",2554,13-6-2018,Ubate,Riffle,4
Laguna Fuquene,71,Glossiphoniidae,Hellobdella,"5°27'57.7"" N","73°44'33.8"" W",2560,14-6-2018,Fumeque,Litoral,4
Rio Bogota ,72,Naididae,Tubifex,"5°13'32"" N","73°35'32.1"" W",2730,18-6-2018,Villapinzon,Riffle,18
Rio Bogota,73,Planariidae,Plan_1,"5°13'32"" N","73°35'32.1"" W",2730,18-6-2018,Villapinzon,Riffle,1
Embalse Tomine,74,Empididae,Chelifera,"4°56'20.3"" N","73°51'53.9"" W",2590,19-6-2018,Guatavita,Litoral,3
Embalse Tomine,75,Planariidae,Plan_1,"4°56'20.3"" N","73°51'53.9"" W",2590,19-6-2018,Guatavita,Litoral,16
Rio Suarez,76,Simuliidae,Simulium,"5°31'18.3"" N","73°47'18"" W",2545,21-6-2018,San Miguel,Glide,321
Rio Neusa ,77,Physidae,Physa,"5°5'0.58"" N","73°56'4.84"" W",2598,8-8-2018,Cogua,Glide,74
Rio Neusa ,78,Chironomidae,Chiro_1,"5°5'0.58"" N","73°56'4.84"" W",2598,8-8-2018,Cogua,Glide,144
Rio Neusa ,79,Baetidae,Baetodes,"5°7'40.2"" N","73°58'4.1"" W",2887,9-9-2018,Cogua,Boulder step,44
Rio Guandoque - Neusa,80,Naididae,Tubifex,"5°9'36.7"" N","73°59'36.7"" W",3060,10-9-2018,Cogua,Glide,14
Rio Guandoque - Neusa,81,Aeshnidae,Aeshna,"5°9'36.7"" N","73°59'36.7"" W",3060,10-9-2018,Cogua,Glide,18
Rio Neusa ,82,Corixidae,Centrocorisa,"5°5'0.58"" N","73°56'4.84"" W",2598,10-9-2018,Cogua,Glide,36
